,uf_instituicao,instituicao,contagem
0,SP,Universidade Federal do ABC,26
1,RJ,Universidade do Estado do Rio de Janeiro,25
2,PE,Universidade Federal do Vale do São Francisco,21
3,PE,Universidade Federal Rural de Pernambuco,20
4,SP,Universidade Estadual de Campinas,20
5,RS,Universidade Federal de Pelotas,19
6,PR,Universidade Estadual de Londrina,18
7,RS,Universidade Federal do Rio Grande do Sul,17
8,BA,Universidade Federal do Sul da Bahia,16
9,ES,Universidade Federal do Espírito Santo,16
10,PR,Universidade Estadual do Paraná,15
11,CE,Universidade Estadual do Ceará,14
12,BA,Universidade Estadual de Feira de Santana,14
13,RJ,Universidade Federal do Rio de Janeiro,12
14,RO,Universidade Federal de Rondônia,12
15,MA,Universidade Federal do Maranhão,12
16,PR,Universidade Estadual do Oeste do Paraná,11
17,MT,Universidade do Estado de Mato Grosso,11
18,BA,Universidade Estadual de Santa Cruz,10
19,MT,Universidade Federal do Mato Grosso,10
20,PI,Universidade Federal do Piauí,10
21,AM,Universidade Federal do Amazonas,10
22,RJ,Universidade Estadual do Norte Fluminense,9
23,PA,Universidade do Estado do Pará,9
24,SP,Universidade de São Paulo,9
25,MS,Universidade Estadual de Mato Grosso do Sul,9
26,MG,Universidade Federal de Uberlândia,8
27,MG,Universidade Federal de Viçosa,8
28,AL,Universidade Federal de Alagoas,7
29,BA,Universidade do Estado da Bahia,7
30,PR,Universidade Estadual de Maringá,7
31,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",6
32,PA,Universidade Federal Rural da Amazônia,6
33,MT,Universidade Federal de Rondonópolis,6
34,AC,Universidade Federal do Acre,6
35,BA,Universidade Estadual do Sudoeste da Bahia,6
36,PR,Universidade Federal do Paraná,6
37,SC,Universidade do Estado de Santa Catarina,6
38,CE,Universidade Federal do Ceará,6
39,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5
40,PE,Universidade de Pernambuco,5
41,MG,Universidade Federal de Lavras,5
42,DF,Universidade de Brasília,5
43,DF,Universidade do Distrito Federal,5
44,CE,Universidade Regional do Cariri,5
45,PB,Universidade Federal de Campina Grande,5
46,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4
47,PI,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",4
48,RS,Instituto Federal do Rio Grande do Sul,4
49,MG,Universidade Federal de Juiz de Fora,4
50,SP,Universidade Federal de São Carlos,4
51,PR,Universidade Estadual de Ponta Grossa,3
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,3
53,PR,Universidade Estadual do Norte do Paraná,3
54,BA,Universidade Federal do Recôncavo da Bahia,3
55,PE,Universidade Federal de Pernambuco,3
56,SE,Universidade Federal de Sergipe,3
57,GO,Universidade Estadual de Goiás,3
58,SC,Universidade Federal da Fronteira Sul,3
59,MG,Universidade Federal de Ouro Preto,3
60,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,3
61,PR,Universidade Tecnológica Federal do Paraná,3
62,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2
63,RN,Universidade Federal Rural do Semi-Árido,2
64,RS,Universidade Federal de Santa Maria,2
65,TO,Universidade de Guripi,2
66,PR,Universidade Federal da Integração Latino-Americana,2
67,AP,Universidade Estado do Amapá,2
68,PB,Universidade Estadual da Paraíba,2
69,PA,Universidade Federal do Pará,2
70,PA,Universidade Federal do Oeste do Pará,2
71,PR,Universidade Estadual do Centro-Oeste,2
72,MG,Centro Federal de Educação Tecnológica de Minas Gerais,2
73,MG,Universidade Estadual de Montes Claros,1
74,BA,Ceep em Biotecnologia e Saúde,1
75,SP,Universidade Federal de São Paulo,1
76,BA,Universidade Federal da Bahia,1
77,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1
78,SP,Universidade Estadual Paulista,1
79,SP,Instituto Federal de São Paulo,1
80,GO,Instituto Federal de Goiás Campus Goiânia Oeste,1
81,MG,Universidade Federal do Triângulo Mineiro,1
82,MG,Universidade Federal de Alfenas,1
83,MG,Universidade do Estado de Minas Gerais,1
84,MS,Universidade Federal de Dourados,1
85,MT,Instituto Federal do Mato Grosso,1
86,RS,Eeiem Nhamandu Nhemopu'ã,1
87,MT,Instituto Saberes,1
88,PA,Universidade Federal do Sul e Sudeste do Pará,1
89,PI,Universidade Estadual do Piauí,1
90,PI,Universidade Federal do Delta do Parnaíba,1
91,PB,Universidade Federal da Paraíba,1
