,UF,Instituição de Ensino,Contagem,Proporção
0,MS,Universidade Estadual de Mato Grosso do Sul,4,16.0%
1,MT,Universidade Federal do Mato Grosso,2,8.0%
2,MT,Universidade do Estado de Mato Grosso,2,8.0%
3,ES,Universidade Federal do Espírito Santo,2,8.0%
4,PR,Universidade Estadual de Maringá,2,8.0%
5,RS,Universidade Federal do Rio Grande do Sul,1,4.0%
6,RR,Universidade Federal de Roraima,1,4.0%
7,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,4.0%
8,PR,Universidade Estadual do Oeste do Paraná,1,4.0%
9,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,4.0%
10,AM,Universidade Federal do Amazonas,1,4.0%
11,BA,Universidade Federal do Oeste da Bahia,1,4.0%
12,MA,Universidade Federal do Maranhão,1,4.0%
13,DF,Universidade de Brasília,1,4.0%
14,CE,Universidade Estadual Vale do Acaraú,1,4.0%
15,BA,Universidade do Estado da Bahia,1,4.0%
16,BA,Universidade Federal do Sul da Bahia,1,4.0%
17,SP,Universidade Federal do ABC,1,4.0%
